customer_id,city,state,signup_date,segment,acquisition_channel,lifetime_orders
1,Bhopal,Madhya Pradesh,2024-07-31,New,Email,3
2,Mumbai,Maharashtra,2023-02-06,Regular,Social Media,6
3,Kolkata,West Bengal,2024-03-02,Regular,Email,6
4,Chennai,Tamil Nadu,2024-07-18,Regular,Referral,8
5,Patna,Bihar,2023-10-05,Regular,App Install,5
6,Nagpur,Maharashtra,2023-04-17,New,Organic Search,2
7,Kochi,Kerala,2024-06-03,Regular,Paid Ads,15
8,Delhi,Delhi,2024-03-17,Premium,Referral,34
9,Jaipur,Rajasthan,2023-08-22,Inactive,Organic Search,1
10,Mumbai,Maharashtra,2023-01-27,New,Paid Ads,3
11,Chennai,Tamil Nadu,2024-09-14,New,Referral,3
12,Surat,Gujarat,2023-01-19,Regular,Email,19
13,Mumbai,Maharashtra,2023-02-23,New,Referral,2
14,Hyderabad,Telangana,2023-05-09,Premium,Referral,59
15,Bhopal,Madhya Pradesh,2024-03-13,Premium,Email,23
16,Surat,Gujarat,2023-04-29,Inactive,Referral,1
17,Chennai,Tamil Nadu,2024-09-22,Regular,Social Media,15
18,Indore,Madhya Pradesh,2023-07-18,Regular,Social Media,17
19,Coimbatore,Tamil Nadu,2023-03-01,Regular,Paid Ads,11
20,Mumbai,Maharashtra,2023-04-05,Regular,Email,4
21,Coimbatore,Tamil Nadu,2023-08-21,New,Referral,3
22,Nagpur,Maharashtra,2024-07-03,New,Email,1
23,Pune,Maharashtra,2023-01-16,New,App Install,1
24,Hyderabad,Telangana,2023-02-28,Premium,Organic Search,18
25,Agra,Uttar Pradesh,2023-05-10,Regular,Referral,9
26,Pune,Maharashtra,2023-10-17,Regular,Organic Search,14
27,Delhi,Delhi,2023-12-25,Regular,Email,11
28,Delhi,Delhi,2023-10-27,New,Paid Ads,3
29,Coimbatore,Tamil Nadu,2024-02-12,Regular,Referral,7
30,Bhopal,Madhya Pradesh,2023-03-20,Regular,Organic Search,12
31,Coimbatore,Tamil Nadu,2024-07-10,Premium,Paid Ads,46
32,Patna,Bihar,2024-01-01,Regular,Paid Ads,18
33,Surat,Gujarat,2023-11-06,New,Social Media,3
34,Agra,Uttar Pradesh,2023-10-27,New,App Install,1
35,Ahmedabad,Gujarat,2024-06-23,Regular,Social Media,14
36,Indore,Madhya Pradesh,2024-07-08,Regular,Email,7
37,Coimbatore,Tamil Nadu,2023-02-25,Regular,Social Media,17
38,Bhopal,Madhya Pradesh,2024-09-28,Inactive,Referral,3
39,Kochi,Kerala,2023-03-22,Premium,Paid Ads,23
40,Indore,Madhya Pradesh,2024-06-17,Regular,Paid Ads,13
41,Patna,Bihar,2024-07-20,Regular,Paid Ads,7
42,Mumbai,Maharashtra,2024-01-17,Regular,App Install,8
43,Chennai,Tamil Nadu,2023-02-06,Inactive,Paid Ads,4
44,Kolkata,West Bengal,2024-04-09,Regular,Organic Search,4
45,Delhi,Delhi,2024-05-25,Regular,Organic Search,12
46,Chennai,Tamil Nadu,2023-10-12,Premium,Email,39
47,Bengaluru,Karnataka,2023-11-04,Regular,Organic Search,5
48,Kolkata,West Bengal,2023-10-13,Premium,Email,39
49,Bhopal,Madhya Pradesh,2024-05-22,Premium,Organic Search,39
50,Ahmedabad,Gujarat,2024-01-29,New,Referral,1
