event_id,customer_id,product_id,event_type,event_ts,session_id,platform
1,4674,53,view,2023-03-03 00:00:00,sess_0000001,Web
2,3866,601,add_to_cart,2023-07-27 00:00:00,sess_0000001,Web
3,4667,1047,purchase,2024-11-07 00:00:00,sess_0000001,iOS App
4,954,756,view,2024-12-16 00:00:00,sess_0000001,Mobile Web
5,2708,1196,view,2023-06-05 00:00:00,sess_0000001,Web
6,3329,1528,view,2024-04-30 00:00:00,sess_0000001,Mobile Web
7,3997,469,purchase,2024-09-17 00:00:00,sess_0000001,iOS App
8,808,1987,checkout,2023-05-30 00:00:00,sess_0000001,iOS App
9,2894,1234,add_to_cart,2023-06-15 00:00:00,sess_0000001,Android App
10,3355,1151,add_to_cart,2024-11-14 00:00:00,sess_0000001,Web
11,4075,1751,add_to_cart,2023-09-19 00:00:00,sess_0000002,Mobile Web
12,2922,4,remove_from_cart,2024-07-31 00:00:00,sess_0000002,Mobile Web
13,4767,702,add_to_cart,2024-06-15 00:00:00,sess_0000002,iOS App
14,3430,1698,view,2024-11-02 00:00:00,sess_0000002,iOS App
15,2339,1619,checkout,2023-11-30 00:00:00,sess_0000002,Web
16,1902,1281,view,2023-06-10 00:00:00,sess_0000002,iOS App
17,725,436,view,2023-12-05 00:00:00,sess_0000002,Android App
18,2862,1319,view,2024-08-13 00:00:00,sess_0000002,iOS App
19,872,14,view,2024-08-18 00:00:00,sess_0000002,iOS App
20,735,1081,view,2023-04-29 00:00:00,sess_0000002,Mobile Web
21,3330,701,view,2023-04-29 00:00:00,sess_0000003,Android App
22,2595,62,view,2023-07-21 00:00:00,sess_0000003,Mobile Web
23,2262,511,view,2023-02-19 00:00:00,sess_0000003,Mobile Web
24,3848,1083,add_to_cart,2024-10-04 00:00:00,sess_0000003,Mobile Web
25,4189,688,checkout,2024-11-02 00:00:00,sess_0000003,Mobile Web
26,4345,270,checkout,2023-06-24 00:00:00,sess_0000003,Web
27,3272,1304,view,2023-02-20 00:00:00,sess_0000003,Mobile Web
28,1223,1728,view,2023-06-13 00:00:00,sess_0000003,Android App
29,4435,242,view,2023-06-10 00:00:00,sess_0000003,Mobile Web
30,1482,697,view,2024-08-10 00:00:00,sess_0000003,iOS App
31,3338,1799,view,2023-10-18 00:00:00,sess_0000004,Web
32,4198,1401,purchase,2023-05-11 00:00:00,sess_0000004,Android App
33,1902,1739,view,2024-04-28 00:00:00,sess_0000004,Mobile Web
34,3367,645,add_to_cart,2024-11-08 00:00:00,sess_0000004,Mobile Web
35,96,256,view,2023-08-26 00:00:00,sess_0000004,iOS App
36,4151,1684,view,2023-07-22 00:00:00,sess_0000004,Mobile Web
37,1094,823,checkout,2023-11-10 00:00:00,sess_0000004,Mobile Web
38,687,974,view,2023-01-20 00:00:00,sess_0000004,iOS App
39,2225,126,view,2023-03-08 00:00:00,sess_0000004,iOS App
40,1357,548,checkout,2024-03-14 00:00:00,sess_0000004,iOS App
41,1255,692,view,2023-01-07 00:00:00,sess_0000005,Web
42,1687,658,checkout,2024-11-24 00:00:00,sess_0000005,Mobile Web
43,52,1018,add_to_cart,2023-06-25 00:00:00,sess_0000005,Web
44,1383,1405,checkout,2023-07-18 00:00:00,sess_0000005,Android App
45,2510,1856,view,2024-11-22 00:00:00,sess_0000005,Mobile Web
46,1061,1703,add_to_cart,2024-12-13 00:00:00,sess_0000005,Web
47,4646,1577,remove_from_cart,2023-08-25 00:00:00,sess_0000005,iOS App
48,435,1797,add_to_cart,2023-03-06 00:00:00,sess_0000005,Mobile Web
49,3832,235,view,2024-03-27 00:00:00,sess_0000005,Android App
50,1316,1183,view,2024-01-23 00:00:00,sess_0000005,Web
51,3907,849,view,2023-07-03 00:00:00,sess_0000006,Mobile Web
52,3540,577,purchase,2023-08-02 00:00:00,sess_0000006,Web
53,632,1193,view,2024-11-16 00:00:00,sess_0000006,Android App
54,437,1454,remove_from_cart,2023-11-04 00:00:00,sess_0000006,Android App
55,2335,1351,checkout,2024-08-23 00:00:00,sess_0000006,Mobile Web
56,225,1062,view,2023-07-10 00:00:00,sess_0000006,iOS App
57,4547,1358,view,2024-10-10 00:00:00,sess_0000006,iOS App
58,2977,874,add_to_cart,2024-12-08 00:00:00,sess_0000006,Android App
59,2864,1754,view,2024-09-15 00:00:00,sess_0000006,iOS App
60,555,1247,view,2023-07-23 00:00:00,sess_0000006,Android App
61,4765,1145,remove_from_cart,2024-07-20 00:00:00,sess_0000007,Web
62,2727,144,checkout,2023-05-10 00:00:00,sess_0000007,Android App
63,2758,1446,view,2023-12-01 00:00:00,sess_0000007,Web
64,4428,1262,add_to_cart,2023-06-13 00:00:00,sess_0000007,Web
65,2801,763,checkout,2024-06-15 00:00:00,sess_0000007,Android App
66,3783,11,purchase,2024-02-02 00:00:00,sess_0000007,Web
67,837,1881,view,2023-09-30 00:00:00,sess_0000007,Mobile Web
68,4057,1826,purchase,2024-11-30 00:00:00,sess_0000007,Mobile Web
69,3040,1830,add_to_cart,2023-03-24 00:00:00,sess_0000007,iOS App
70,2468,1418,purchase,2024-10-06 00:00:00,sess_0000007,Android App
71,3202,1123,view,2023-05-23 00:00:00,sess_0000008,Web
72,1444,1254,add_to_cart,2024-09-02 00:00:00,sess_0000008,iOS App
73,4246,1198,view,2024-12-01 00:00:00,sess_0000008,Mobile Web
74,1079,718,view,2024-09-21 00:00:00,sess_0000008,Android App
75,727,453,view,2023-07-18 00:00:00,sess_0000008,Web
76,1573,1498,add_to_cart,2023-07-11 00:00:00,sess_0000008,Mobile Web
77,3734,1173,view,2023-11-16 00:00:00,sess_0000008,Mobile Web
78,1560,1612,view,2023-03-28 00:00:00,sess_0000008,Web
79,1218,1944,view,2024-04-21 00:00:00,sess_0000008,Web
80,947,552,view,2023-07-05 00:00:00,sess_0000008,Web
81,1129,785,checkout,2024-03-24 00:00:00,sess_0000009,Android App
82,1137,966,view,2024-06-25 00:00:00,sess_0000009,Mobile Web
83,2201,761,add_to_cart,2024-03-20 00:00:00,sess_0000009,Mobile Web
84,3890,1415,add_to_cart,2023-06-25 00:00:00,sess_0000009,Mobile Web
85,2929,507,checkout,2024-01-10 00:00:00,sess_0000009,Android App
86,3845,642,view,2024-10-21 00:00:00,sess_0000009,Web
87,2726,1145,remove_from_cart,2023-04-02 00:00:00,sess_0000009,iOS App
88,57,1758,view,2023-03-25 00:00:00,sess_0000009,Android App
89,4606,866,view,2024-04-10 00:00:00,sess_0000009,Web
90,3060,853,view,2023-03-15 00:00:00,sess_0000009,Mobile Web
91,3308,1405,add_to_cart,2023-08-06 00:00:00,sess_0000010,iOS App
92,3202,1175,view,2023-01-02 00:00:00,sess_0000010,Android App
93,1322,1850,view,2024-08-14 00:00:00,sess_0000010,Web
94,1113,1624,add_to_cart,2024-03-16 00:00:00,sess_0000010,Web
95,3700,1554,remove_from_cart,2023-02-06 00:00:00,sess_0000010,Android App
96,1946,1904,view,2023-12-12 00:00:00,sess_0000010,Web
97,2942,281,add_to_cart,2024-07-27 00:00:00,sess_0000010,iOS App
98,1316,230,view,2024-12-31 00:00:00,sess_0000010,Mobile Web
99,593,414,add_to_cart,2024-09-02 00:00:00,sess_0000010,iOS App
100,299,1130,view,2023-02-19 00:00:00,sess_0000010,iOS App
101,947,114,add_to_cart,2023-02-16 00:00:00,sess_0000011,Android App
102,3697,215,view,2023-06-10 00:00:00,sess_0000011,Mobile Web
103,4530,1918,view,2023-10-03 00:00:00,sess_0000011,Mobile Web
104,3442,342,view,2024-02-01 00:00:00,sess_0000011,Android App
105,934,1592,checkout,2023-01-20 00:00:00,sess_0000011,Web
106,1176,1421,add_to_cart,2024-07-21 00:00:00,sess_0000011,Web
107,4940,878,view,2024-04-27 00:00:00,sess_0000011,iOS App
108,2957,1077,view,2024-03-12 00:00:00,sess_0000011,Mobile Web
109,3855,690,view,2024-10-28 00:00:00,sess_0000011,Web
110,1188,1120,add_to_cart,2023-08-20 00:00:00,sess_0000011,Android App
111,2166,938,view,2023-10-23 00:00:00,sess_0000012,Mobile Web
112,301,536,view,2023-03-01 00:00:00,sess_0000012,Web
113,3615,1596,checkout,2024-04-02 00:00:00,sess_0000012,Android App
114,4130,69,view,2024-05-31 00:00:00,sess_0000012,Web
115,2424,1935,checkout,2024-12-21 00:00:00,sess_0000012,iOS App
116,2143,1997,view,2024-11-24 00:00:00,sess_0000012,iOS App
117,524,639,checkout,2024-01-28 00:00:00,sess_0000012,Web
118,4322,1513,view,2024-02-02 00:00:00,sess_0000012,iOS App
119,1854,532,remove_from_cart,2023-08-27 00:00:00,sess_0000012,iOS App
120,4507,1737,view,2023-11-26 00:00:00,sess_0000012,Web
121,2706,598,view,2024-07-03 00:00:00,sess_0000013,Android App
122,1045,1397,view,2024-01-25 00:00:00,sess_0000013,Mobile Web
123,950,1170,remove_from_cart,2023-08-09 00:00:00,sess_0000013,Android App
124,4716,1384,view,2023-10-17 00:00:00,sess_0000013,iOS App
125,1573,573,purchase,2023-02-27 00:00:00,sess_0000013,Mobile Web
126,3977,1860,add_to_cart,2023-08-12 00:00:00,sess_0000013,Web
127,3011,700,view,2023-06-25 00:00:00,sess_0000013,Android App
