inventory_id,product_id,seller_id,stock_date,units_available,units_sold,stockout_flag
1,1857,341,2024-05-19,153,35,False
2,1857,341,2023-01-22,60,1,False
3,1857,341,2023-04-23,88,79,False
4,1857,341,2024-12-01,138,25,False
5,1253,341,2024-09-29,231,24,False
6,1253,341,2023-04-23,178,9,False
7,1253,341,2024-12-08,3,3,False
8,1253,341,2024-09-08,284,61,False
9,1253,341,2023-12-24,273,45,False
10,1253,341,2024-07-28,53,9,False
11,1253,341,2024-08-11,212,41,False
12,363,341,2023-12-03,66,61,False
13,363,341,2023-05-28,33,24,False
14,363,341,2023-08-20,179,56,False
15,363,341,2024-06-02,81,45,False
16,363,341,2024-05-05,296,32,False
17,363,341,2024-02-11,145,52,False
18,363,341,2024-06-09,103,73,False
19,363,341,2024-12-01,18,7,False
20,363,341,2023-10-08,43,31,False
21,363,341,2023-09-24,51,9,False
22,429,341,2023-01-29,210,67,False
23,429,341,2024-12-15,169,42,False
24,429,341,2023-04-23,47,2,False
25,429,341,2024-01-14,63,17,False
26,429,341,2024-11-24,17,3,False
27,429,341,2024-07-07,136,12,False
28,429,341,2023-04-30,225,69,False
29,429,341,2023-07-02,230,38,False
30,429,341,2023-11-12,271,42,False
31,920,341,2024-06-02,253,49,False
32,920,341,2024-07-14,3,1,False
33,920,341,2023-10-22,121,48,False
34,920,341,2023-12-10,199,31,False
35,920,341,2023-11-05,49,27,False
36,920,341,2023-06-11,134,19,False
37,920,341,2023-01-01,268,0,False
38,920,341,2023-12-03,161,33,False
39,920,341,2023-09-10,200,18,False
40,920,341,2023-02-26,73,10,False
41,920,341,2023-09-17,29,26,False
42,1536,341,2023-06-18,73,11,False
43,1536,341,2023-11-26,127,80,False
44,1536,341,2024-03-31,191,73,False
45,1536,341,2023-02-19,238,7,False
46,1536,341,2024-01-28,13,12,False
47,1536,341,2023-06-04,224,78,False
48,1123,341,2023-01-15,206,12,False
49,1123,341,2023-03-05,244,4,False
50,1123,341,2023-05-28,47,2,False
51,1123,341,2024-01-21,154,8,False
52,1123,341,2024-05-12,225,37,False
53,1123,341,2024-12-08,149,15,False
54,1123,341,2023-01-01,253,13,False
55,1123,341,2023-01-29,188,28,False
56,1123,341,2024-07-21,132,16,False
57,1123,341,2024-11-03,237,45,False
58,423,341,2023-11-26,149,3,False
59,423,341,2024-10-06,236,79,False
60,423,341,2024-12-22,277,37,False
61,423,341,2023-05-14,80,35,False
62,423,341,2023-10-01,167,31,False
63,423,341,2023-11-05,93,47,False
64,423,341,2024-06-02,166,42,False
65,423,341,2024-03-10,224,46,False
66,423,341,2024-09-15,20,18,False
67,423,341,2024-08-04,259,66,False
68,423,341,2024-05-19,264,38,False
69,423,341,2024-01-14,209,48,False
70,206,341,2023-04-02,83,65,False
71,206,341,2024-11-10,62,58,False
72,206,341,2023-12-24,120,51,False
73,206,341,2023-03-12,254,0,False
74,206,341,2024-03-17,296,38,False
75,206,341,2024-05-26,247,74,False
76,206,341,2023-04-30,123,68,False
77,206,341,2024-12-29,18,13,False
78,206,341,2024-11-17,29,18,False
79,206,341,2024-12-08,134,71,False
80,1561,341,2023-11-12,83,44,False
81,1561,341,2023-01-08,287,13,False
82,1561,341,2024-08-11,88,78,False
83,1561,341,2023-07-16,54,25,False
84,1561,341,2024-11-10,67,61,False
85,1561,341,2024-12-22,282,46,False
86,1561,341,2023-07-23,36,35,False
87,1345,140,2023-01-01,70,55,False
88,1345,140,2023-12-24,180,23,False
89,1345,140,2023-07-16,9,2,False
90,1345,140,2024-03-17,299,9,False
91,1345,140,2024-10-13,130,64,False
92,1345,140,2023-06-04,43,6,False
93,1345,140,2024-12-15,51,47,False
94,1345,140,2023-03-26,282,25,False
95,314,140,2024-04-21,186,22,False
96,314,140,2023-07-09,184,71,False
97,314,140,2024-04-14,84,67,False
98,314,140,2024-08-18,222,72,False
99,497,140,2023-10-01,101,65,False
100,497,140,2023-04-02,241,48,False
101,497,140,2023-06-18,36,14,False
102,497,140,2023-07-02,239,21,False
103,497,140,2024-05-26,210,41,False
104,489,140,2023-07-30,166,58,False
105,489,140,2024-11-24,123,53,False
106,489,140,2024-11-03,261,38,False
107,489,140,2023-10-22,283,9,False
108,489,140,2024-03-03,145,67,False
109,535,140,2024-06-23,110,32,False
110,535,140,2023-10-29,174,0,False
111,535,140,2023-04-09,255,30,False
112,535,140,2024-08-11,198,5,False
113,535,140,2024-09-29,182,20,False
114,535,140,2024-04-14,30,13,False
115,535,140,2023-07-30,115,16,False
116,535,140,2023-09-17,244,10,False
117,535,140,2023-02-26,246,39,False
118,535,140,2024-09-08,191,12,False
119,535,140,2023-06-04,225,59,False
120,1754,140,2024-09-08,90,1,False
121,1754,140,2023-10-15,297,1,False
122,1754,140,2023-03-05,247,36,False
123,1754,140,2023-04-09,87,64,False
124,1754,140,2024-05-19,262,34,False
125,1754,140,2024-10-27,2,1,False
126,1754,140,2023-07-16,9,8,False
127,1754,140,2024-12-01,203,76,False
128,1754,140,2023-12-03,295,35,False
129,1754,140,2024-05-26,274,14,False
130,1754,140,2023-09-24,49,35,False
131,547,140,2024-01-07,76,56,False
132,547,140,2024-12-08,63,29,False
133,547,140,2023-08-27,51,26,False
134,547,140,2024-02-25,51,11,False
135,16,140,2023-10-29,97,29,False
136,16,140,2023-04-30,175,72,False
137,16,140,2024-10-13,83,38,False
138,16,140,2024-12-22,164,34,False
139,16,140,2023-09-03,121,32,False
140,1261,140,2023-01-15,247,38,False
141,1261,140,2024-03-03,40,40,False
142,1261,140,2024-06-16,237,15,False
143,1261,140,2023-09-03,269,74,False
144,1261,140,2024-11-03,271,2,False
145,1261,140,2023-10-15,132,14,False
146,1261,140,2023-07-30,90,27,False
147,1261,140,2023-03-12,232,0,False
148,1261,140,2023-02-26,139,65,False
149,1261,140,2023-02-05,215,19,False
150,1261,140,2023-10-08,112,2,False
151,659,140,2024-05-12,219,15,False
152,659,140,2023-09-03,89,9,False
153,659,140,2024-04-21,3,0,False
154,659,140,2024-04-28,157,32,False
155,659,140,2023-10-29,111,45,False
156,659,140,2023-04-30,177,0,False
157,659,140,2024-02-25,19,3,False
158,659,140,2024-08-04,220,58,False
159,659,140,2023-12-03,173,24,False
160,659,140,2024-03-03,23,7,False
161,1709,140,2024-08-25,212,23,False
162,1709,140,2024-06-23,12,2,False
163,1709,140,2023-06-25,2,1,False
164,1709,140,2023-08-13,226,78,False
165,1709,140,2024-11-17,46,34,False
166,1709,140,2023-10-15,239,63,False
167,1709,140,2024-12-01,257,40,False
168,1709,140,2023-09-17,150,2,False
169,1709,140,2023-01-29,171,30,False
170,1719,140,2024-10-06,218,65,False
171,1719,140,2024-06-23,269,20,False
172,1719,140,2023-03-19,247,57,False
173,1719,140,2023-08-13,263,67,False
174,1719,140,2023-10-29,136,62,False
175,1719,140,2024-03-10,172,48,False
176,982,140,2024-07-14,24,2,False
177,982,140,2023-07-16,292,63,False
178,982,140,2024-04-21,206,72,False
179,982,140,2023-07-09,227,18,False
180,982,140,2024-08-25,272,40,False
181,982,140,2023-11-12,217,37,False
182,982,140,2024-01-07,125,46,False
183,982,140,2023-08-27,160,80,False
184,982,140,2023-10-15,145,0,False
185,982,140,2023-03-26,110,53,False
186,982,140,2024-08-11,182,23,False
187,1331,140,2023-06-18,278,67,False
188,1331,140,2024-02-18,53,33,False
189,1331,140,2023-08-06,36,28,False
190,1331,140,2024-02-25,264,76,False
191,1331,140,2023-05-28,16,8,False
192,1331,140,2024-10-20,209,4,False
193,1331,140,2023-01-15,38,6,False
194,1331,140,2024-02-11,181,43,False
195,1331,140,2023-03-19,294,1,False
196,1331,140,2024-11-03,160,70,False
197,1331,140,2023-02-26,196,23,False
198,1331,140,2024-10-27,274,38,False
199,849,140,2023-09-24,44,12,False
200,849,140,2024-10-13,64,13,False
