order_id,customer_id,seller_id,product_id,order_date,status,gmv,discount_amt,delivery_days,return_flag
1,2708,259,895,2024-07-06,Delivered,4626.82,353.18,3.0,False
2,1764,361,1827,2023-07-13,Delivered,130.56,19.44,14.0,False
3,356,114,1158,2024-09-10,Delivered,251.83,8.17,8.0,False
4,3618,178,1883,2023-06-01,Delivered,218.42,11.58,10.0,False
5,718,486,497,2023-11-19,Cancelled,327.66,112.34,,False
6,3453,482,590,2023-04-02,Delivered,28745.88,16234.12,11.0,False
7,2665,307,383,2024-12-23,Delivered,172.87,137.13,2.0,False
8,1554,202,94,2023-09-15,Delivered,132449.82,230.18,5.0,False
9,1723,422,1796,2023-09-15,Delivered,3034.03,325.97,3.0,False
10,4819,48,1534,2024-03-04,Cancelled,18767.33,10112.67,,False
11,3797,323,518,2024-10-08,Delivered,345.47,24.53,3.0,False
12,4098,123,339,2024-02-12,Returned,539.18,380.82,,True
13,3654,472,654,2024-10-04,Delivered,223.02,16.98,9.0,False
14,1789,97,655,2024-09-08,Delivered,1621.92,698.08,9.0,False
15,4817,23,1538,2023-02-14,Delivered,5061.84,1018.16,1.0,False
16,2803,264,1364,2023-05-24,Delivered,6703.92,1576.08,12.0,False
17,2710,146,1763,2024-04-01,Returned,5761.09,1358.91,,True
18,1358,284,825,2024-05-05,Delivered,4334.96,865.04,11.0,False
19,2370,141,633,2023-09-05,Delivered,554.91,425.09,13.0,False
20,2898,333,863,2024-11-18,Delivered,7543.8,3036.2,13.0,False
21,2336,481,1991,2024-06-25,Delivered,1512.66,787.34,14.0,False
22,1645,171,1580,2024-02-25,Delivered,737.75,22.25,2.0,False
23,4217,188,954,2023-03-11,Delivered,4167.73,682.27,2.0,False
24,4661,346,1614,2024-02-10,Processing,5173.71,2526.29,,False
25,4751,210,792,2024-01-05,Cancelled,134.15,25.85,,False
26,1874,362,671,2024-10-17,Delivered,10737.9,5912.1,4.0,False
27,3238,378,917,2024-08-06,Delivered,2547.79,1282.21,5.0,False
28,4620,82,1057,2023-01-09,Delivered,468.88,61.12,3.0,False
29,2774,181,1989,2023-09-29,Delivered,336.4,223.6,8.0,False
30,3713,329,1880,2023-07-22,Delivered,6972.13,2507.87,3.0,False
31,3520,158,471,2023-10-19,Delivered,164.2,45.8,4.0,False
32,4466,40,118,2023-02-17,Cancelled,577.58,52.42,,False
33,4584,74,452,2024-08-27,Delivered,824.92,455.08,2.0,False
34,2551,457,34,2024-10-15,Delivered,439.83,170.17,11.0,False
35,2504,291,390,2024-10-12,Delivered,12814.15,4805.85,7.0,False
36,3544,347,1839,2024-04-16,Delivered,1410.17,89.83,11.0,False
37,446,472,1368,2024-09-09,Delivered,22966.64,8333.36,9.0,False
38,3301,235,959,2024-12-03,Delivered,6750.9,2159.1,11.0,False
39,4144,80,1278,2024-03-24,Returned,10633.67,116.33,,True
40,3091,312,637,2024-02-06,Delivered,1804.61,285.39,5.0,False
41,4630,325,1409,2024-12-01,Delivered,81470.85,27579.15,5.0,False
42,135,272,431,2024-11-29,Delivered,55936.36,17003.64,6.0,False
43,4677,245,687,2024-10-10,Delivered,1633.9,576.1,13.0,False
44,1727,414,378,2023-05-30,Delivered,548.03,111.97,13.0,False
45,3997,126,293,2023-06-12,Delivered,741.83,128.17,11.0,False
46,4427,420,1937,2024-02-27,Cancelled,26877.66,4262.34,,False
47,2216,240,1470,2023-02-26,Delivered,3367.94,1262.06,3.0,False
48,2060,449,395,2023-09-17,Delivered,4358.38,2361.62,7.0,False
49,2444,307,853,2023-04-13,Delivered,180.62,39.38,12.0,False
50,4205,203,1523,2024-01-23,Delivered,462.64,97.36,3.0,False
51,4275,490,1029,2024-06-16,Delivered,6325.42,3654.58,8.0,False
52,4949,458,1931,2023-10-06,Processing,8268.65,6521.35,,False
53,2951,43,522,2024-11-27,Delivered,6303.14,4206.86,9.0,False
54,711,118,1961,2024-03-03,Delivered,5646.1,1343.9,11.0,False
55,1867,357,614,2024-07-07,Cancelled,1359.53,190.47,,False
56,4461,15,1344,2023-09-11,Delivered,87746.89,10393.11,2.0,False
57,3448,300,810,2024-04-25,Delivered,657.99,232.01,2.0,False
58,4047,495,1648,2023-07-28,Cancelled,16360.01,1059.99,,False
59,4515,414,1012,2024-10-08,Cancelled,3578.85,1331.15,,False
60,1311,477,5,2023-06-11,Delivered,2723.63,116.37,13.0,False
61,3007,93,57,2024-05-28,Delivered,762.71,27.29,1.0,False
62,2981,78,13,2023-04-12,Delivered,430.66,169.34,4.0,False
63,1777,348,150,2024-02-09,Delivered,122.29,87.71,2.0,False
64,652,86,597,2023-07-01,Delivered,3690.76,1949.24,8.0,False
65,3494,248,94,2024-09-01,Delivered,121718.52,10961.48,3.0,False
66,2007,51,72,2023-12-23,Delivered,5735.8,3444.2,11.0,False
67,4713,358,1584,2024-02-13,Delivered,1867.25,482.75,12.0,False
68,4767,328,29,2023-04-18,Delivered,42878.92,151.08,13.0,False
69,1742,421,1534,2023-12-17,Delivered,27850.94,1029.06,13.0,False
70,1954,132,357,2024-06-26,Cancelled,496.6,363.4,,False
71,932,191,448,2024-05-07,Delivered,1100.12,599.88,2.0,False
72,945,59,641,2024-03-21,Delivered,435.95,64.05,8.0,False
73,89,69,2000,2024-12-07,Returned,6154.46,2415.54,,True
74,2085,28,989,2023-02-03,Processing,2894.45,195.55,,False
75,80,441,96,2024-06-16,Delivered,100.74,39.26,14.0,False
76,935,92,1117,2024-10-04,Delivered,5493.63,3976.37,14.0,False
77,4918,446,420,2024-11-17,Delivered,13664.42,1115.58,12.0,False
78,1913,72,440,2024-07-13,Delivered,11020.68,959.32,11.0,False
79,3149,83,1508,2024-04-06,Delivered,2444.37,1255.63,6.0,False
80,724,113,303,2023-06-17,Delivered,3179.58,1330.42,2.0,False
