product_id,category,subcategory,brand,mrp,avg_rating,listing_date
1,Fashion,Footwear,H&M,2700.0,4.2,2022-03-10
2,Sports,Footwear,Cosco,6680.0,4.4,2023-01-14
3,Fashion,Footwear,H&M,9880.0,4.1,2023-06-06
4,Fashion,Footwear,H&M,4000.0,4.3,2022-04-07
5,Beauty,Fragrances,Nykaa,2840.0,2.9,2022-12-05
6,Sports,Footwear,Cosco,8670.0,3.9,2022-08-02
7,Electronics,Laptops,Samsung,23170.0,3.9,2022-07-29
8,Fashion,Accessories,H&M,4890.0,3.6,2022-08-16
9,Home & Kitchen,Decor,Prestige,19210.0,4.6,2022-03-04
10,Fashion,Footwear,H&M,8770.0,3.6,2022-11-04
11,Beauty,Skincare,Mamaearth,120.0,4.0,2022-07-15
12,Electronics,Tablets,Mi,138620.0,3.1,2022-01-09
13,Books,Children,HarperCollins,600.0,4.4,2022-06-20
14,Beauty,Fragrances,L'Oreal,2330.0,4.4,2022-04-29
15,Electronics,Tablets,OnePlus,21460.0,3.1,2023-05-08
16,Books,Comics,Westland,280.0,4.5,2022-03-04
17,Electronics,Smartwatches,Samsung,22390.0,2.9,2022-05-25
18,Books,Academic,HarperCollins,270.0,4.3,2023-05-16
19,Fashion,Men Clothing,Myntra,7440.0,3.9,2023-04-03
20,Beauty,Skincare,Himalaya,4190.0,4.5,2023-03-14
21,Electronics,Tablets,Mi,94820.0,3.0,2023-01-09
22,Books,Comics,Westland,410.0,3.7,2023-04-12
23,Beauty,Makeup,Lakme,3070.0,4.4,2023-01-22
24,Sports,Cricket,Adidas,5890.0,3.4,2022-01-18
25,Sports,Footwear,Adidas,3400.0,4.6,2022-10-16
26,Fashion,Accessories,Biba,7180.0,3.2,2023-04-15
27,Sports,Cricket,Nivia,3810.0,4.6,2022-03-19
28,Grocery,Beverages,ITC,980.0,4.3,2023-04-15
29,Electronics,Earphones,Realme,43030.0,4.3,2023-03-08
30,Electronics,Smartphones,OnePlus,74180.0,4.2,2022-04-28
31,Electronics,Earphones,Samsung,111910.0,3.0,2022-03-12
32,Beauty,Haircare,L'Oreal,140.0,3.9,2022-05-18
33,Beauty,Makeup,Himalaya,2900.0,3.3,2022-09-25
34,Grocery,Dairy,Nestle,610.0,4.7,2022-07-28
35,Fashion,Footwear,Myntra,5170.0,4.4,2023-01-02
36,Beauty,Skincare,Himalaya,1010.0,3.4,2023-02-17
37,Beauty,Personal Care,Lakme,4110.0,3.6,2023-06-02
38,Beauty,Fragrances,Nykaa,3430.0,3.3,2022-06-09
39,Electronics,Laptops,Samsung,141390.0,4.9,2022-05-23
40,Grocery,Dairy,Amul,380.0,4.5,2022-05-26
41,Home & Kitchen,Bedding,Cello,10120.0,4.7,2022-06-20
42,Books,Children,HarperCollins,360.0,2.9,2022-02-05
43,Books,Non-Fiction,Penguin,590.0,4.3,2022-03-30
44,Home & Kitchen,Bedding,Prestige,9720.0,4.1,2022-12-13
45,Home & Kitchen,Furniture,Philips,14970.0,3.1,2022-07-27
46,Books,Fiction,HarperCollins,990.0,3.5,2023-03-07
47,Grocery,Snacks,Amul,610.0,4.5,2022-07-25
48,Grocery,Staples,Tata,910.0,2.9,2022-02-08
49,Sports,Fitness Equipment,SG,16450.0,4.1,2022-03-09
50,Sports,Outdoor,SG,2460.0,2.8,2022-11-14
51,Grocery,Personal Hygiene,Tata,200.0,4.2,2022-08-25
52,Home & Kitchen,Decor,Prestige,10190.0,4.7,2022-07-04
53,Sports,Fitness Equipment,SG,14840.0,2.9,2022-09-26
54,Books,Non-Fiction,Westland,470.0,3.0,2023-03-04
55,Beauty,Haircare,Himalaya,4590.0,2.9,2022-03-26
56,Fashion,Women Clothing,Biba,6420.0,3.9,2022-12-24
57,Grocery,Personal Hygiene,Nestle,790.0,4.8,2022-09-20
58,Grocery,Dairy,Tata,870.0,4.8,2022-08-14
59,Electronics,Smartphones,Samsung,146930.0,4.3,2022-08-06
60,Books,Non-Fiction,Penguin,870.0,3.8,2022-07-27
61,Sports,Outdoor,SG,10170.0,5.0,2022-04-07
62,Sports,Yoga,Nike,14990.0,3.1,2023-03-09
63,Sports,Cricket,Cosco,19970.0,4.4,2022-12-31
64,Books,Fiction,Penguin,460.0,3.9,2023-05-06
65,Books,Fiction,Scholastic,540.0,3.7,2022-05-09
66,Books,Comics,Scholastic,830.0,3.3,2022-08-30
67,Beauty,Personal Care,Himalaya,4540.0,4.3,2022-01-26
68,Electronics,Smartwatches,Sony,117460.0,3.2,2023-02-16
69,Fashion,Kids Wear,H&M,2000.0,3.8,2023-03-31
70,Sports,Yoga,Nike,11480.0,4.3,2023-04-04
71,Books,Children,Penguin,950.0,5.0,2022-11-29
72,Fashion,Women Clothing,W,9180.0,4.1,2022-01-01
73,Beauty,Makeup,Himalaya,2960.0,4.6,2022-04-19
74,Fashion,Footwear,Myntra,6300.0,3.9,2022-06-05
75,Beauty,Makeup,Himalaya,4200.0,3.6,2022-01-26
76,Sports,Cricket,SG,7510.0,4.4,2022-01-26
77,Home & Kitchen,Cookware,Prestige,27570.0,4.9,2022-10-25
78,Electronics,Smartwatches,Samsung,133840.0,4.5,2022-12-04
79,Beauty,Personal Care,Himalaya,1020.0,3.0,2022-05-23
80,Sports,Footwear,Cosco,7150.0,3.0,2023-06-30
81,Beauty,Skincare,Biotique,660.0,4.9,2023-06-23
82,Beauty,Skincare,Lakme,4380.0,3.6,2022-02-14
83,Electronics,Tablets,Apple,39650.0,4.1,2022-07-05
84,Sports,Outdoor,SG,16740.0,3.9,2023-04-20
85,Electronics,Laptops,Realme,2990.0,3.1,2022-07-20
86,Electronics,Smartphones,Samsung,109800.0,3.1,2022-01-14
87,Electronics,Tablets,boAt,125420.0,2.9,2022-10-09
88,Fashion,Kids Wear,Puma,9700.0,3.7,2022-12-19
89,Fashion,Women Clothing,H&M,2420.0,3.2,2022-08-04
90,Grocery,Staples,Dabur,570.0,3.6,2022-02-12
91,Electronics,Smartwatches,Realme,29740.0,4.9,2022-09-25
92,Grocery,Snacks,Amul,660.0,3.7,2022-09-23
93,Books,Comics,Westland,430.0,3.8,2022-10-23
94,Electronics,Earphones,boAt,132680.0,4.3,2022-10-11
95,Home & Kitchen,Bedding,Pigeon,28840.0,3.6,2023-02-22
96,Books,Children,Rupa,140.0,3.6,2023-05-20
97,Grocery,Snacks,Nestle,660.0,3.4,2023-01-17
98,Fashion,Footwear,Myntra,7300.0,3.4,2023-03-16
99,Sports,Yoga,Nivia,16490.0,3.6,2023-06-11
100,Fashion,Footwear,W,2140.0,3.5,2022-08-23
101,Books,Academic,Scholastic,950.0,4.2,2023-03-03
102,Grocery,Dairy,ITC,450.0,3.7,2022-11-03
103,Sports,Footwear,Adidas,3250.0,4.7,2023-04-17
104,Beauty,Makeup,Himalaya,2410.0,4.8,2022-10-25
105,Fashion,Women Clothing,Puma,8860.0,3.7,2022-08-12
106,Books,Academic,Rupa,320.0,4.9,2023-03-17
107,Sports,Footwear,SG,830.0,2.9,2022-11-09
108,Home & Kitchen,Cookware,IKEA,29840.0,2.9,2022-06-29
109,Sports,Footwear,Cosco,9380.0,4.4,2022-01-09
110,Electronics,Smartwatches,Apple,42410.0,4.8,2022-07-20
111,Sports,Fitness Equipment,Nivia,9450.0,3.3,2023-05-17
112,Fashion,Kids Wear,Myntra,2840.0,4.5,2022-12-20
113,Books,Fiction,HarperCollins,610.0,2.9,2023-03-08
114,Fashion,Footwear,W,9930.0,3.0,2022-02-09
115,Books,Non-Fiction,Penguin,370.0,3.6,2022-07-09
116,Sports,Fitness Equipment,Decathlon,4350.0,3.3,2022-03-08
117,Fashion,Accessories,W,2790.0,4.3,2022-08-27
118,Grocery,Snacks,Amul,630.0,4.6,2022-12-05
119,Fashion,Men Clothing,Puma,7270.0,4.8,2022-04-25
120,Fashion,Women Clothing,Biba,3650.0,2.9,2022-06-20
121,Beauty,Makeup,Mamaearth,4440.0,4.6,2022-06-02
122,Sports,Outdoor,Nivia,7730.0,3.2,2022-12-19
123,Electronics,Smartphones,Mi,54840.0,3.3,2022-07-17
124,Sports,Footwear,Decathlon,5990.0,4.9,2022-09-23
125,Books,Children,Penguin,820.0,4.6,2022-03-24
126,Sports,Cricket,Decathlon,2060.0,3.8,2022-11-08
127,Home & Kitchen,Decor,IKEA,22720.0,3.3,2023-04-10
128,Books,Fiction,Westland,220.0,3.2,2022-04-21
129,Beauty,Fragrances,Mamaearth,1310.0,3.4,2022-04-08
130,Grocery,Snacks,Tata,680.0,4.6,2023-01-19
131,Beauty,Haircare,L'Oreal,1360.0,3.0,2023-03-11
132,Electronics,Tablets,OnePlus,79090.0,3.9,2023-03-29
133,Beauty,Haircare,Lakme,2990.0,4.9,2023-03-11
134,Sports,Cricket,Nike,12150.0,3.7,2022-01-21
135,Grocery,Snacks,Britannia,610.0,4.9,2023-03-23
136,Books,Children,Penguin,380.0,2.9,2022-12-04
137,Books,Comics,Scholastic,580.0,4.8,2022-05-09
138,Books,Children,Westland,300.0,4.6,2022-06-27
139,Grocery,Snacks,Nestle,790.0,4.6,2023-06-28
140,Sports,Yoga,Nike,6310.0,3.6,2022-04-03
141,Books,Academic,HarperCollins,150.0,3.6,2022-09-06
142,Beauty,Makeup,Nykaa,330.0,4.3,2022-06-29
143,Grocery,Snacks,Tata,270.0,3.1,2023-01-06
144,Grocery,Beverages,Amul,400.0,3.2,2022-03-07
145,Electronics,Earphones,OnePlus,88770.0,4.4,2022-09-22
146,Fashion,Men Clothing,W,8540.0,3.2,2022-11-03
147,Fashion,Accessories,W,3850.0,4.8,2022-03-28
148,Electronics,Laptops,Realme,147210.0,3.9,2022-05-02
149,Books,Fiction,Rupa,110.0,3.1,2022-04-28
150,Books,Children,Scholastic,210.0,4.8,2022-12-14
151,Grocery,Staples,Amul,240.0,3.2,2022-04-25
152,Grocery,Dairy,ITC,690.0,3.0,2022-02-24
153,Books,Comics,Westland,300.0,4.2,2022-06-10
154,Electronics,Tablets,Mi,37300.0,4.0,2022-03-19
155,Grocery,Beverages,Amul,240.0,3.8,2023-05-11
156,Electronics,Smartphones,OnePlus,20970.0,3.9,2023-04-08
157,Beauty,Skincare,L'Oreal,3250.0,3.6,2022-03-24
158,Home & Kitchen,Furniture,Prestige,7780.0,3.5,2022-01-11
159,Grocery,Snacks,Tata,160.0,4.2,2023-06-18
160,Fashion,Kids Wear,FabIndia,5640.0,2.9,2022-08-07
161,Books,Academic,Rupa,890.0,3.2,2022-11-20
162,Sports,Outdoor,Cosco,15270.0,2.9,2022-02-18
163,Home & Kitchen,Cookware,Cello,23470.0,4.5,2022-10-07
164,Beauty,Fragrances,Biotique,1800.0,4.2,2022-05-30
165,Fashion,Accessories,W,5150.0,2.9,2022-09-07
166,Grocery,Personal Hygiene,Dabur,160.0,3.2,2022-02-19
167,Grocery,Beverages,Tata,270.0,3.4,2022-03-03
168,Electronics,Tablets,OnePlus,24370.0,2.8,2022-08-29
169,Sports,Yoga,Adidas,7360.0,3.3,2022-02-02
170,Grocery,Personal Hygiene,Dabur,220.0,4.4,2023-02-01
171,Sports,Fitness Equipment,Nivia,15640.0,3.7,2023-03-02
172,Grocery,Staples,ITC,550.0,4.3,2022-03-30
