seller_id,city,state,join_date,category_focus,fulfillment_type,seller_rating,active_listings
1,Lucknow,Uttar Pradesh,2022-06-19,Grocery,Self-Ship,5.0,90
2,Kolkata,West Bengal,2022-12-18,Sports,Self-Ship,2.9,262
3,Agra,Uttar Pradesh,2022-01-27,Beauty,Self-Ship,4.2,204
4,Mumbai,Maharashtra,2022-07-29,Fashion,FBA,4.5,440
5,Chennai,Tamil Nadu,2022-10-05,Home & Kitchen,Self-Ship,2.6,15
6,Lucknow,Uttar Pradesh,2022-11-24,Beauty,FBA,4.4,471
7,Bhopal,Madhya Pradesh,2022-03-09,Electronics,FBA,3.4,42
8,Indore,Madhya Pradesh,2022-07-06,Sports,FBA,2.7,498
9,Pune,Maharashtra,2022-01-03,Books,FBA,3.6,357
10,Bengaluru,Karnataka,2022-09-12,Beauty,FBA,3.3,37
11,Indore,Madhya Pradesh,2022-08-14,Sports,Marketplace,2.7,76
12,Kolkata,West Bengal,2022-06-04,Home & Kitchen,FBA,3.0,312
13,Surat,Gujarat,2022-08-15,Home & Kitchen,Marketplace,3.2,373
14,Bhopal,Madhya Pradesh,2022-07-07,Home & Kitchen,FBA,2.7,425
15,Surat,Gujarat,2022-08-28,Books,Marketplace,2.6,380
16,Patna,Bihar,2022-10-21,Electronics,Marketplace,2.7,339
17,Coimbatore,Tamil Nadu,2022-10-22,Books,Marketplace,3.5,390
18,Lucknow,Uttar Pradesh,2022-07-27,Grocery,Marketplace,3.0,179
19,Bhopal,Madhya Pradesh,2022-10-11,Electronics,FBA,3.0,175
20,Agra,Uttar Pradesh,2022-05-16,Beauty,Marketplace,4.2,245
21,Bhopal,Madhya Pradesh,2022-01-04,Sports,Self-Ship,4.2,35
22,Kolkata,West Bengal,2022-12-22,Fashion,Self-Ship,4.6,420
23,Bengaluru,Karnataka,2022-05-16,Sports,FBA,4.6,422
24,Hyderabad,Telangana,2022-04-06,Sports,FBA,2.6,194
25,Nagpur,Maharashtra,2022-05-04,Beauty,FBA,3.0,428
26,Chennai,Tamil Nadu,2022-12-28,Books,Marketplace,4.2,118
27,Chennai,Tamil Nadu,2022-10-17,Fashion,Self-Ship,3.2,30
28,Kolkata,West Bengal,2022-10-15,Grocery,FBA,3.3,400
29,Kolkata,West Bengal,2022-07-22,Grocery,Self-Ship,3.4,450
30,Vadodara,Gujarat,2022-04-06,Books,Self-Ship,2.9,252
31,Ahmedabad,Gujarat,2022-12-30,Sports,FBA,3.1,283
32,Surat,Gujarat,2022-03-14,Books,FBA,2.8,361
33,Kolkata,West Bengal,2022-10-22,Electronics,FBA,3.1,10
34,Bengaluru,Karnataka,2022-11-12,Beauty,FBA,3.1,418
35,Kolkata,West Bengal,2022-05-23,Sports,Self-Ship,2.8,162
